弁,辨,瓣,辯
殺,殺,,
曽,曾,,
滝,瀧,,
灯,燈,,
欄,欄,,
竜,龍,,
虜,虜,,
類,類,,
廊,廊,,
乗,乘,,
乱,亂,,
予,豫,,
亜,亞,,
仏,佛,,
来,來,,
仮,假,,
会,會,,
伝,傳,,
偽,僞,,
価,價,,
倹,儉,,
児,兒,,
両,兩,,
冊,册,,
処,處,,
剰,剩,,
剣,劍,,
剤,劑,,
労,勞,,
勲,勳,,
励,勵,,
勧,勸,,
区,區,,
巻,卷,,
参,參,,
双,雙,,
単,單,,
営,營,,
厳,嚴,,
嘱,囑,,
圏,圈,,
国,國,,
囲,圍,,
円,圓,,
団,團,,
図,圖,,
壊,壞,,
堕,墮,,
圧,壓,,
塁,壘,,
壌,壤,,
壮,壯,,
壱,壹,,
寿,壽,,
奥,奧,,
奨,奬,,
嬢,孃,,
学,學,,
実,實,,
寝,寢,,
写,寫,,
宝,寶,,
将,將,,
専,專,,
対,對,,
届,屆,,
属,屬,,
峡,峽,,
岳,嶽,,
帯,帶,,
広,廣,,
廃,廢,,
庁,廳,,
弾,彈,,
弥,彌,,
径,徑,,
従,從,,
恒,恆,,
悪,惡,,
恵,惠,,
悩,惱,,
慎,愼,,
惨,慘,,
応,應,,
懐,懷,,
恋,戀,,
戦,戰,,
戯,戲,,
抜,拔,,
担,擔,,
拝,拜,,
払,拂,,
挟,挾,,
捜,搜,,
揺,搖,,
摂,攝,,
拠,據,,
択,擇,,
挙,擧,,
拡,擴,,
収,收,,
叙,敍,,
数,數,,
変,變,,
断,斷,,
昼,晝,,
暁,曉,,
条,條,,
桟,棧,,
栄,榮,,
楽,樂,,
権,權,,
枢,樞,,
様,樣,,
楼,樓,,
検,檢,,
桜,櫻,,
盗,盜,,
飲,飮,,
欧,歐,,
歓,歡,,
帰,歸,,
残,殘,,
殻,殼,,
殴,毆,,
気,氣,,
没,沒,,
浄,淨,,
浅,淺,,
満,滿,,
渓,溪,,
滞,滯,,
渋,澁,,
潜,潛,,
沢,澤,,
済,濟,,
湿,濕,,
浜,濱,,
湾,灣,,
焼,燒,,
炉,爐,,
争,爭,,
為,爲,,
犠,犧,,
狭,狹,,
黙,默,,
独,獨,,
獣,獸,,
猟,獵,,
献,獻,,
画,畫,,
当,當,,
畳,疊,,
発,發,,
尽,盡,,
真,眞,,
砕,碎,,
秘,祕,,
斎,齋,,
禅,禪,,
礼,禮,,
称,稱,,
稲,稻,,
穂,穗,,
穏,穩,,
窃,竊,,
粋,粹,,
糸,絲,,
経,經,,
総,總,,
県,縣,,
縦,縱,,
絵,繪,,
縄,繩,,
継,繼,,
続,續,,
繊,纖,,
欠,缺,,
缶,罐,,
声,聲,,
聴,聽,,
粛,肅,,
脳,腦,,
胆,膽,,
臓,臟,,
台,臺,,
与,與,,
旧,舊,,
舎,舍,,
舗,舖,,
艶,艷,,
茎,莖,,
荘,莊,,
万,萬,,
蔵,藏,,
芸,藝,,
薬,藥,,
号,號,,
蛍,螢,,
虫,蟲,,
蚕,蠶,,
蛮,蠻,,
衛,衞,,
装,裝,,
覚,覺,,
覧,覽,,
観,觀,,
触,觸,,
謡,謠,,
証,證,,
訳,譯,,
誉,譽,,
読,讀,,
譲,讓,,
豊,豐,,
弐,貳,,
売,賣,,
賛,贊,,
践,踐,,
軽,輕,,
転,轉,,
辞,辭,,
逓,遞,,
随,隨,,
遅,遲,,
辺,邊,,
酔,醉,,
医,醫,,
醸,釀,,
釈,釋,,
銭,錢,,
鎮,鎭,,
鉄,鐵,,
鋳,鑄,,
鉱,鑛,,
関,關,,
陥,陷,,
険,險,,
隠,隱,,
雑,雜,,
霊,靈,,
静,靜,,
顔,顏,,
顕,顯,,
余,餘,,
騒,騷,,
駆,驅,,
駅,驛,,
験,驗,,
髄,髓,,
体,體,,
髪,髮,,
闘,鬪,,
鶏,鷄,,
塩,鹽,,
麦,麥,,
点,點,,
党,黨,,
斉,齊,,
歯,齒,,
齢,齡,,
亀,龜,,
塚,塚,,
増,增,,
寛,寬,,
徳,德,,
悦,悅,,
教,敎,,
晴,晴,,
朗,朗,,
横,橫,,
清,淸,,
瀬,瀨,,
瓶,甁,,
益,益,,
神,神,,
祥,祥,,
福,福,,
精,精,,
緑,綠,,
緒,緖,,
羽,羽,,
薫,薰,,
諸,諸,,
頼,賴,,
郎,郞,,
都,都,,
郷,鄕,,
隆,隆,,
青,靑,,
飯,飯,,
飼,飼,,
館,館,,
黒,黑,,
侮,侮,,
併,倂,,
僧,僧,,
免,免,,
内,內,,
勉,勉,,
勤,勤,,
卑,卑,,
即,卽,,
呉,吳,,
告,吿,,
喝,喝,,
嘆,嘆,,
器,器,,
塀,塀,,
墨,墨,,
姫,姬,,
娯,娛,,
尚,尙,,
層,層,,
巣,巢,,
徴,徵,,
悔,悔,,
慨,慨,,
憎,憎,,
懲,懲,,
戸,戶,,
戻,戾,,
掲,揭,,
挿,揷,,
撃,擊,,
敏,敏,,
既,旣,,
晩,晚,,
暑,暑,,
暦,曆,,
梅,梅,,
概,槪,,
歩,步,,
歳,歲,,
歴,歷,,
毎,每,,
海,海,,
渉,涉,,
涙,淚,,
渇,渴,,
温,溫,,
漢,漢,,
煮,煮,,
状,狀,,
産,產,,
痩,瘦,,
研,硏,,
碑,碑,,
社,社,,
祈,祈,,
祉,祉,,
祖,祖,,
祝,祝,,
禍,禍,,
税,稅,,
穀,穀,,
突,突,,
節,節,,
絶,絕,,
縁,緣,,
練,練,,
繁,繁,,
署,署,,
者,者,,
脱,脫,,
臭,臭,,
著,著,,
虚,虛,,
褐,褐,,
視,視,,
説,說,,
謁,謁,,
謹,謹,,
賓,賓,,
贈,贈,,
逸,逸,,
鋭,銳,,
録,錄,,
錬,鍊,,
閲,閱,,
難,難,,
響,響,,
頻,頻,,
麺,麵,,
黄,黃,,
哀,,,
挨,,,
愛,,,
曖,,,
握,,,
扱,,,
宛,,,
嵐,,,
安,,,
案,,,
暗,,,
以,,,
衣,,,
位,,,
依,,,
委,,,
威,,,
畏,,,
胃,,,
尉,,,
異,,,
移,,,
萎,,,
偉,,,
椅,,,
彙,,,
意,,,
違,,,
維,,,
慰,,,
遺,,,
緯,,,
域,,,
育,,,
一,,,
茨,,,
芋,,,
引,,,
印,,,
因,,,
咽,,,
姻,,,
員,,,
院,,,
淫,,,
陰,,,
韻,,,
右,,,
宇,,,
雨,,,
唄,,,
鬱,,,
畝,,,
浦,,,
運,,,
雲,,,
永,,,
泳,,,
英,,,
映,,,
詠,,,
影,,,
易,,,
疫,,,
液,,,
越,,,
延,,,
沿,,,
炎,,,
怨,,,
宴,,,
媛,,,
援,,,
園,,,
煙,,,
猿,,,
遠,,,
鉛,,,
演,,,
汚,,,
王,,,
凹,,,
央,,,
往,,,
押,,,
旺,,,
翁,,,
岡,,,
屋,,,
億,,,
憶,,,
臆,,,
虞,,,
乙,,,
俺,,,
卸,,,
音,,,
恩,,,
下,,,
化,,,
火,,,
加,,,
可,,,
何,,,
花,,,
佳,,,
果,,,
河,,,
苛,,,
科,,,
架,,,
夏,,,
家,,,
荷,,,
華,,,
菓,,,
貨,,,
渦,,,
過,,,
嫁,,,
暇,,,
靴,,,
寡,,,
歌,,,
箇,,,
稼,,,
課,,,
蚊,,,
牙,,,
瓦,,,
我,,,
芽,,,
賀,,,
雅,,,
餓,,,
介,,,
回,,,
灰,,,
快,,,
戒,,,
改,,,
怪,,,
拐,,,
界,,,
皆,,,
械,,,
開,,,
階,,,
塊,,,
楷,,,
解,,,
潰,,,
諧,,,
貝,,,
外,,,
劾,,,
害,,,
崖,,,
涯,,,
街,,,
蓋,,,
該,,,
骸,,,
垣,,,
柿,,,
各,,,
角,,,
革,,,
格,,,
核,,,
郭,,,
較,,,
隔,,,
閣,,,
確,,,
獲,,,
嚇,,,
穫,,,
額,,,
顎,,,
掛,,,
潟,,,
括,,,
活,,,
割,,,
葛,,,
滑,,,
轄,,,
且,,,
株,,,
釜,,,
鎌,,,
刈,,,
干,,,
刊,,,
甘,,,
汗,,,
完,,,
肝,,,
官,,,
冠,,,
看,,,
乾,,,
勘,,,
患,,,
貫,,,
寒,,,
喚,,,
堪,,,
換,,,
敢,,,
棺,,,
款,,,
間,,,
閑,,,
幹,,,
感,,,
慣,,,
管,,,
監,,,
