1,亜 ,亞 ,,,ア,0
2,哀 ,,,,アイ、あわ-れ、あわ-れむ,
3,挨 ,,,,アイ,
4,愛 ,,,,アイ,
5,曖 ,,,,アイ,
6,悪 ,惡 ,,,アク、オ、わる-い,
7,握 ,,,,アク、にぎ-る,
8,圧 ,壓 ,,,アツ,
9,扱 ,,,,あつか-う,
10,宛 ,,,,あ-てる,
11,嵐 ,,,,あらし,
12,安 ,,,,アン、やす-い,
13,案 ,,,,アン,
14,暗 ,,,,アン、くら-い,
15,以 ,,,,イ,
16,衣 ,,,,イ、ころも,
17,位 ,,,,イ、くらい,
18,囲 ,圍 ,,,イ、かこ-む、かこ-う,
19,医 ,醫 ,,,イ,
20,依 ,,,,イ、（エ）,
21,委 ,,,,イ、ゆだ-ねる,
22,威 ,,,,イ,
23,為 ,爲 ,,,イ,
24,畏 ,,,,イ、おそ-れる,
25,胃 ,,,,イ,
26,尉 ,,,,イ,
27,異 ,,,,イ、こと,
28,移 ,,,,イ、うつ-る、うつ-す,
29,萎 ,,,,イ、な-える,
30,偉 ,,,,イ、えら-い,
31,椅 ,,,,イ,
32,彙 [4] ,,,,イ,
33,意 ,,,,イ,
34,違 ,,,,イ、ちが-う、ちが-える,
35,維 ,,,,イ,
36,慰 ,,,,イ、なぐさ-める、なぐさ-む,
37,遺 ,,,,イ、（ユイ）,
38,緯 ,,,,イ,
39,域 ,,,,イキ,
40,育 ,,,,イク、そだ-つ、そだ-てる、はぐく-む,
41,一 ,,,,イチ、イツ、ひと、ひと-つ,
42,壱 ,壹 ,,,イチ,
43,逸 ,逸 [6] ,,,イツ,
44,茨 [3] ,,,,（いばら）[7],
45,芋 ,,,,いも,
46,引 ,,,,イン、ひ-く、ひ-ける,
47,印 ,,,,イン、しるし,
48,因 ,,,,イン、よ-る,
49,咽 ,,,,イン,
50,姻 ,,,,イン,
51,員 ,,,,イン,
52,院 ,,,,イン,
53,淫 [4][8] ,,,,イン、みだ-ら,
54,陰 ,,,,イン、かげ、かげ-る,
55,飲 ,飮 ,,,イン、の-む,
56,隠 ,隱 ,,,イン、かく-す、かく-れる,
57,韻 ,,,,イン,
58,右 ,,,,ウ、ユウ、みぎ,
59,宇 ,,,,ウ,
60,羽 ,羽 [6] ,,,ウ、は、はね,
61,雨 ,,,,ウ、あめ、（あま）,
62,唄 ,,,,（うた）,
63,鬱 ,,,,ウツ,
64,畝 ,,,,うね,
65,浦 ,,,,うら,
66,運 ,,,,ウン、はこ-ぶ,
67,雲 ,,,,ウン、くも,
68,永 ,,,,エイ、なが-い,
69,泳 ,,,,エイ、およ-ぐ,
70,英 ,,,,エイ,
71,映 ,,,,エイ、うつ-る、うつ-す、は-える,
72,栄 ,榮 ,,,エイ、さか-える、は-え、は-える,
73,営 ,營 ,,,エイ、いとな-む,
74,詠 ,,,,エイ、よ-む,
75,影 ,,,,エイ、かげ,
76,鋭 ,銳 ,,,エイ、するど-い,
77,衛 ,衞 ,,,エイ,
78,易 ,,,,エキ、イ、やさ-しい,
79,疫 ,,,,エキ、（ヤク）,
80,益 ,益 [6] ,,,エキ、（ヤク）,
81,液 ,,,,エキ,
82,駅 ,驛 ,,,エキ,
83,悦 ,悅 ,,,エツ,
84,越 ,,,,エツ、こ-す、こ-える,
